Address,Suburb,CouncilArea
108 Normanby Av,Thornbury,Darebin
13 Kyeamba Gr,Toorak,Stonnington
1 Marina St,Vermont,Whitehorse
2 Country La,Viewbank,Banyule
14 Danaher Av,Wallan,Mitchell
78 Raheen Av,Wantirna,Knox
12 McLean Ct,Wantirna South,Knox
20 Mingana Rd,Wantirna South,Knox
12 Manfred St,Watsonia,Banyule
306 Grimshaw St,Watsonia North,Banyule
81 Parramatta Rd,Werribee,Wyndham
1/4 Tedesco Ct,Werribee,Wyndham
94 Wattle Av,Werribee,Wyndham
127 Stanhope St,West Footscray,Maribyrnong
199 Hawke St,West Melbourne,Melbourne
65 Cootamundra Dr,Wheelers Hill,Monash
7 Meadowbrook Dr,Wheelers Hill,Monash
22 Bushlark Cr,Williams Landing,Wyndham
52a Florence St,Williamstown North,Hobsons Bay
5 Gladstone St,Windsor,Stonnington
73 Lewisham Rd,Windsor,Stonnington
14 McIlwrick St,Windsor,Stonnington
23 Gray St,Yarraville,Maribyrnong
9 Hawkhurst St,Yarraville,Maribyrnong
67 Stafford St,Abbotsford,Yarra
35 Angelique Gr,Albanvale,Brimbank
123 Richardson St,Albert Park,Port Phillip
83 Seventh Av,Altona North,Hobsons Bay
721 Ballarat Rd,Ardeer,Brimbank
18A New St,Armadale,Stonnington
28 New St,Armadale,Stonnington
21 Warner Av,Ashburton,Boroondara
33 Douglas St,Ashwood,Monash
6 Foam St,Aspendale,Kingston
15 Grey St,Balwyn,Boroondara
17 Percy St,Balwyn,Boroondara
6 Yandilla St,Balwyn,Boroondara
137 Doncaster Rd,Balwyn North,Boroondara
58 Fortuna Av,Balwyn North,Boroondara
15 Highbury St,Balwyn North,Boroondara
8 Hillview Rd,Balwyn North,Boroondara
11 Minerva Av,Balwyn North,Boroondara
40 Reading Av,Balwyn North,Boroondara
16 Riverview Rd,Balwyn North,Boroondara
210 Centre Rd,Bentleigh,Glen Eira
17 Gowrie St,Bentleigh East,Glen Eira
77A Orange St,Bentleigh East,Glen Eira
1/87 Orange St,Bentleigh East,Glen Eira
41 Shrewsbury St,Bentleigh East,Glen Eira
2A Kerr St,Blackburn,Whitehorse
22 Greenglade Ct,Blackburn North,Whitehorse
4/129 Mountain View Rd,Briar Hill,Banyule
6 Harwood St,Brighton,Bayside
2A Hillcrest Av,Brighton,Bayside
34 Moffat St,Brighton,Bayside
11A Taylor St,Brighton East,Bayside
48 Electric St,Broadmeadows,Hume
46 Meredith St,Broadmeadows,Hume
37 Dunstan Ave,Brunswick,Moreland
7/226 Glenlyon Rd,Brunswick East,Moreland
5 Amberley Ct,Bulleen,Manningham
3 England St,Bulleen,Manningham
567 Grimshaw St,Bundoora,Banyule
8 Murray Dr,Burwood,Whitehorse
61 Newhaven Rd,Burwood East,Whitehorse
2 Augusta Av,Campbellfield,Hume
34 Maysia St,Canterbury,Boroondara
242 Canning St,Carlton North,Yarra
24 Highbury Cl,Caroline Springs,Melton
37 Saturn St,Caulfield South,Glen Eira
3 Third Av,Chelsea Heights,Kingston
2/41 Harpley St,Cheltenham,Kingston
6 Shadwell St,Cheltenham,Kingston
13 Dyer Ct,Clarinda,Kingston
6 Rosewall Pl,Clarinda,Kingston
36 Rutland St,Clifton Hill,Yarra
269 Bell St,Coburg,Moreland
4 Jamieson St,Coburg,Moreland
13 Jessie St,Coburg,Moreland
87 Nicholson St,Coburg,Moreland
5 Brookedge Ct,Craigieburn,Hume
7 Eve Ct,Craigieburn,Hume
13 Eveline St,Craigieburn,Hume
73 Mareeba Wy,Craigieburn,Hume
3 Pembury St,Craigieburn,Hume
27 Vantage Bvd,Craigieburn,Hume
32 Viewside Cr,Craigieburn,Hume
25 Toorak Av,Croydon,Maroondah
29 Kilmore Cr,Dallas,Hume
4 Blackley Ct,Deer Park,Brimbank
12 Campbell Gr,Dingley Village,Kingston
11 Evelyn Ct,Dingley Village,Kingston
93 Church Rd,Doncaster,Manningham
70 Wetherby Rd,Doncaster,Manningham
80 Gedye St,Doncaster East,Manningham
40 Saxonwood Dr,Doncaster East,Manningham
416 Serpells Tce,Donvale,Manningham
2/9 Standring Cl,Donvale,Manningham
36 Silverdale Rd,Eaglemont,Banyule
115 Ella Gr,Edithvale,Kingston
8 Prentice St,Elsternwick,Glen Eira
30 Shoobra Rd,Elsternwick,Glen Eira
5 Thomas St,Eltham,Nillumbik
3 Michael Ct,Eltham North,Nillumbik
4/130 Tennyson St,Elwood,Port Phillip
28 Supply Dr,Epping,Whittlesea
16 Woodfull Wy,Epping,Whittlesea
83 Nimmo St,Essendon,Moonee Valley
151 Perry St,Fairfield,Darebin
68 Queens Pde,Fawkner,Moreland
93 Burke Rd,Ferntree Gully,Knox
3 Kirby Ct,Ferntree Gully,Knox
4/118 Rose St,Fitzroy,Yarra
124 Victoria St,Fitzroy,Yarra
80 Dover St,Flemington,Moonee Valley
28 Central Av,Footscray,Maribyrnong
84 MacPherson St,Footscray,Maribyrnong
24 Gretana Cr,Frankston,Frankston
10 Helvetia Ct,Frankston,Frankston
6 Bardolph St,Glen Iris,Boroondara
72 Bath Rd,Glen Iris,Boroondara
4 Faircroft Av,Glen Iris,Boroondara
1A York Rd,Glen Iris,Stonnington
22 Campbell St,Glen Waverley,Monash
2 Cherry St,Glen Waverley,Monash
16 Cooper Av,Glen Waverley,Monash
31 Paxton Dr,Glen Waverley,Monash
480 Springvale Rd,Glen Waverley,Monash
8A Finchley Av,Glenroy,Moreland
25 Hilda St,Glenroy,Moreland
78 Justin Av,Glenroy,Moreland
85 Marigold Cr,Gowanbrae,Moreland
39 Crisp St,Hampton,Bayside
28 Bell St,Hawthorn,Boroondara
41 Roseberry St,Hawthorn East,Boroondara
21 Balfour Av,Heathmont,Maroondah
4 Lee Ct,Heathmont,Maroondah
13 Tennyson St,Highett,Kingston
34 Tennyson St,Highett,Kingston
13 Train St,Highett,Bayside
25 Castlewellan Bvd,Hillside,Melton
3 Silvana Wy,Hillside,Brimbank
22 Roseland Cr,Hoppers Crossing,Wyndham
29 Hendricks Cr,Jacana,Hume
31 Chappell Pl,Keilor East,Moonee Valley
4 Limestone Av,Keilor East,Moonee Valley
41 Patricia St,Keilor East,Moonee Valley
15 Shelley St,Keilor East,Moonee Valley
9A The Crossway,Keilor East,Moonee Valley
89 Stockmans Wy,Kensington,Melbourne
30 Stirling St,Kew,Boroondara
37 Wellington St,Kew,Boroondara
108 Willsmere Rd,Kew,Boroondara
13 Ramsay Av,Kew East,Boroondara
47 Churchill Wy,Kilsyth,Maroondah
16 Regina St,Kilsyth,Yarra Ranges
11 Delmare St,Lalor,Whittlesea
46 Karma Av,Malvern East,Stonnington
49 Tennyson St,Malvern East,Stonnington
57 River St,Maribyrnong,Maribyrnong
124 Wheatley Rd,McKinnon,Glen Eira
18 Brennan St,Melton South,Melton
2/20 Albenca St,Mentone,Kingston
16 Etherington Dr,Mernda,Whittlesea
5 Haig St,Mernda,Whittlesea
38A Carroll Cr,Mill Park,Whittlesea
2/50 Coventry St,Montmorency,Banyule
4 Longview Rd,Mount Evelyn,Yarra Ranges
7 Huntingtower Cr,Mount Waverley,Monash
10 Rhonda St,Mount Waverley,Monash
59A Nolan St,Niddrie,Moonee Valley
9 Patterson St,Nunawading,Whitehorse
41 Colin Rd,Oakleigh South,Monash
347 Koornang Rd,Ormond,Glen Eira
55 Alpine Gr,Pascoe Vale,Moreland
3/136 Derby St,Pascoe Vale,Moreland
360 Howe Pde,Port Melbourne,Port Phillip
6 Aberdeen Rd,Prahran,Stonnington
15 Albert St,Preston,Darebin
11 Jackman St,Preston,Darebin
20 Barton St,Reservoir,Darebin
49 Liston Av,Reservoir,Darebin
19 Lucille Av,Reservoir,Darebin
25 Ramleh Rd,Reservoir,Darebin
21 Rossiter Av,Roxburgh Park,Hume
16 Mountain St,South Melbourne,Port Phillip
3 McArthurs Rd,South Morang,Whittlesea
2A Albion St,South Yarra,Stonnington
22 Cullen St,Spotswood,Hobsons Bay
4 Lindy Ct,Springvale South,Greater Dandenong
29 Gillespie Rd,St Albans,Brimbank
7 Caravelle Cr,Strathmore Heights,Moonee Valley
17 Curtin Dr,Sunbury,Hume
1 Plante Ct,Sunbury,Hume
19A Park Dr,Sunshine North,Brimbank
3 Arnold St,Sunshine West,Brimbank
1 Oak St,Surrey Hills,Whitehorse
53 Park Rd,Surrey Hills,Whitehorse
45 Templemore Dr,Templestowe,Manningham
3 Artemis Ct,Templestowe Lower,Manningham
27 Gooch St,Thornbury,Darebin
7 Canary Cl,Truganina,Wyndham
84 Centre Rd,Vermont,Whitehorse
48 Coonawarra Dr,Vermont South,Whitehorse
10 Shearers Ct,Vermont South,Whitehorse
104 Weeden Dr,Vermont South,Whitehorse
11 Jedem Cl,Viewbank,Banyule
6 Priscilla Ct,Wantirna,Knox
79 Somes St,Wantirna South,Knox
3 Speers Ct,Warrandyte,Manningham
3 Leafield St,Watsonia,Banyule
29 Briardale Dr,Werribee,Wyndham
31 Hooker Rd,Werribee,Wyndham
27 Busch St,West Footscray,Maribyrnong
11 Church St,West Footscray,Maribyrnong
24 Oxford St,West Footscray,Maribyrnong
28 Tucker St,West Footscray,Maribyrnong
12 Erskine Cr,Wheelers Hill,Monash
99 Grandview Rd,Wheelers Hill,Monash
2 Rodney Cl,Wheelers Hill,Monash
4 Tyrone Ct,Wheelers Hill,Monash
54 Victoria St,Williamstown,Hobsons Bay
11 Chisholm Pl,Wyndham Vale,Wyndham
39 Fahey Cr,Yallambie,Banyule
10 Caroline St,Aberfeldie,Moonee Valley
33 Bedford St,Airport West,Moonee Valley
16 Highridge Cr,Airport West,Moonee Valley
5 Hedgerow Ct,Albanvale,Brimbank
59 Moubray St,Albert Park,Port Phillip
41 Adelaide St,Albion,Brimbank
52 Spicer Bvd,Altona Meadows,Hobsons Bay
35 Mahon Av,Altona North,Hobsons Bay
105 Third Av,Altona North,Hobsons Bay
9 Bailey Av,Armadale,Stonnington
22 Gladstone Av,Armadale,Stonnington
13 Brisbane St,Ascot Vale,Moonee Valley
3A Crete Av,Ashburton,Boroondara
20 Eleanor St,Ashburton,Boroondara
12 Belmore Rd,Balwyn,Boroondara
85 Clifton St,Balwyn North,Boroondara
85 Begonia Av,Bayswater,Knox
4 David Cl,Bayswater North,Maroondah
8 Skye Ct,Bayswater North,Maroondah
9A Comas Rd,Beaumaris,Bayside
3 Bendigo Av,Bentleigh,Glen Eira
14 Delhi St,Bentleigh,Glen Eira
316 Chesterville Rd,Bentleigh East,Glen Eira
9 Vine Ct,Bentleigh East,Glen Eira
13 Ridge Rd,Berwick,Casey
3/3 First St,Black Rock,Bayside
3/33 Glen Ebor Av,Blackburn,Whitehorse
31 Primula St,Blackburn North,Whitehorse
101 Shafer Rd,Blackburn North,Whitehorse
144 Middleborough Rd,Blackburn South,Whitehorse
37 Mernda Av,Bonbeach,Kingston
2/8 Simpsons Rd,Box Hill,Whitehorse
86 Glencairn Av,Brighton East,Bayside
12 Merricks St,Broadmeadows,Hume
1 Brack Av,Brooklyn,Hobsons Bay
281 Albion St,Brunswick,Moreland
232 Brunswick Rd,Brunswick,Moreland
146 Donald St,Brunswick,Moreland
15 Eveline St,Brunswick,Moreland
43 Mitchell St,Brunswick,Moreland
22 Stanley St,Brunswick,Moreland
20 Glenmorgan St,Brunswick East,Moreland
2/162 Lygon St,Brunswick East,Moreland
30 Cornwall St,Brunswick West,Moreland
3 Temple St,Brunswick West,Moreland
12 Ralph St,Bulleen,Manningham
12 Rocklea Rd,Bulleen,Manningham
219 Greenwood Dr,Bundoora,Banyule
16 Stanthorp St,Burnside Heights,Melton
3 Sugarloaf Cl,Burwood East,Whitehorse
15 Tyne St,Camberwell,Boroondara
3 Wiringa Av,Camberwell,Boroondara
52 Tranmere Av,Carnegie,Glen Eira
12/40 Woorayl St,Carnegie,Glen Eira
3 Salford La,Caroline Springs,Melton
5 Alice St,Cheltenham,Kingston
139 Park Rd,Cheltenham,Bayside
53 Primrose Av,Cheltenham,Kingston
72 Wilson St,Cheltenham,Kingston
53 Wingrove St,Cheltenham,Kingston
4 Wannan Ct,Clayton South,Kingston
13 Shackell St,Coburg,Moreland
17 Sutherland St,Coburg,Moreland
5 Blackbird Tce,Craigieburn,Hume
111 Hanson Rd,Craigieburn,Hume
9 Huntingfield St,Craigieburn,Hume
328 Waterview Bvd,Craigieburn,Hume
11 Aminga Ct,Croydon,Maroondah
6 Webster Av,Croydon,Maroondah
1 Christie St,Deer Park,Brimbank
4 Adina Pl,Delahey,Brimbank
7 Shale Ct,Delahey,Brimbank
1 Sinclair Grn,Derrimut,Brimbank
37 Brownlow Dr,Diamond Creek,Nillumbik
104 Ayr St,Doncaster,Manningham
21 Gaudion Rd,Doncaster East,Manningham
8 Rowallan Ct,Doncaster East,Manningham
128 Mitcham Rd,Donvale,Manningham
11 Rove La,Doreen,Whittlesea
77 Fraser Av,Edithvale,Kingston
107 Kinross Av,Edithvale,Kingston
7 Centurion Ct,Epping,Whittlesea
376 Dalton Rd,Epping,Whittlesea
2 Dransfield Wy,Epping,Whittlesea
66 Roberts St,Essendon,Moonee Valley
13 Lorne St,Fawkner,Moreland
14 Hancock Dr,Ferntree Gully,Knox
27 Malua Rd,Ferntree Gully,Knox
138 Cecil St,Fitzroy,Yarra
32 Cecil St,Fitzroy,Yarra
397 Rae St,Fitzroy North,Yarra
18 Shields St,Flemington,Moonee Valley
2/121 Wellington St,Flemington,Moonee Valley
14 Box Av,Forest Hill,Whitehorse
14 Hampshire Rd,Forest Hill,Whitehorse
10 Plover Cl,Frankston,Frankston
70 Derinya Dr,Frankston South,Frankston
17 Payne St,Gladstone Park,Hume
4/135 Grange Rd,Glen Huntly,Glen Eira
2 Grandview Av,Glen Iris,Boroondara
58 Cambridge Dr,Glen Waverley,Monash
8 Edith St,Glen Waverley,Monash
9 Finton Cl,Glen Waverley,Monash
16 Rhodes Dr,Glen Waverley,Monash
152 Glenroy Rd,Glenroy,Moreland
9 Hartington St,Glenroy,Moreland
17 Patrick St,Glenroy,Moreland
6 Pembroke St,Greensborough,Banyule
132 Ludstone St,Hampton,Bayside
36 May St,Hampton,Bayside
4 The Avenue,Hampton,Bayside
10 Wickham Rd,Hampton East,Bayside
29 Fairmount Rd,Hawthorn East,Boroondara
6 Clyde Ct,Heidelberg,Banyule
219 Waiora Rd,Heidelberg Heights,Banyule
17 Nicol St,Highett,Bayside
1 Albion Ct,Hoppers Crossing,Wyndham
5 Davie Cr,Hoppers Crossing,Wyndham
24 Don Av,Hoppers Crossing,Wyndham
6 Moffatt Cr,Hoppers Crossing,Wyndham
33 Beauford St,Huntingdale,Monash
13 York Av,Ivanhoe East,Banyule
14 Gavin St,Jacana,Hume
216 Sunshine Av,Kealba,Brimbank
10 Wexford Ct,Keilor Downs,Brimbank
86 Milleara Rd,Keilor East,Moonee Valley
21 Phillip Rd,Keilor East,Moonee Valley
41 Roberts St,Keilor East,Moonee Valley
38 Belmont Av,Kew,Boroondara
14 Carson St,Kew,Boroondara
11/26 Edgevale Rd,Kew,Boroondara
54 Kent St,Kew,Boroondara
16 Scott St,Kew,Boroondara
25 Minogue St,Kew East,Boroondara
7 Allawah Cl,Keysborough,Greater Dandenong
8 Bataan Ct,Lalor,Whittlesea
65 Huskisson Av,Lalor,Whittlesea
101 Stanhope St,Malvern,Stonnington
19 Merlyn St,Maribyrnong,Maribyrnong
13 Haddon Ct,Meadow Heights,Hume
118 Barries Rd,Melton,Melton
1 Lincoln Wy,Melton West,Melton
24 Marlo Dr,Melton West,Melton
6 Blackwood Av,Mentone,Kingston
4 Vain Cl,Mill Park,Whittlesea
1 Dunlavin Rd,Mitcham,Whitehorse
2 Hardwood Ct,Mitcham,Whitehorse
2/491 Mitcham Rd,Mitcham,Whitehorse
8 Pattison St,Moonee Ponds,Moonee Valley
4 Bulga St,Mooroolbark,Yarra Ranges
2 Ormiston St,Mount Waverley,Monash
34 Park La,Mount Waverley,Monash
8 Susan Ct,Mount Waverley,Monash
12 Brookland Ct,Mulgrave,Monash
9 Caledonia Cr,Mulgrave,Monash
5 Lola St,Mulgrave,Monash
25 Rupert Dr,Mulgrave,Monash
21 Reid St,Murrumbeena,Glen Eira
71 Hamilton Rd,New Gisborne,Macedon Ranges
32 Agg St,Newport,Hobsons Bay
65 Speight St,Newport,Hobsons Bay
1 Cuthbert St,Niddrie,Moonee Valley
5 Hardwicke St,North Melbourne,Melbourne
271 Heidelberg Rd,Northcote,Darebin
61 Henry St,Northcote,Darebin
23 Park St,Northcote,Darebin
39 Winifred St,Northcote,Darebin
25 Bingley Av,Notting Hill,Monash
2 Grevillia Rd,Oak Park,Moreland
27 Station Rd,Oak Park,Moreland
68 Haughton Rd,Oakleigh,Monash
60 Highland Av,Oakleigh East,Monash
28 Beryl Av,Oakleigh South,Monash
28 Garfield Av,Ormond,Glen Eira
45 Holloway St,Ormond,Glen Eira
8/14 Lillimur Rd,Ormond,Glen Eira
9 Remy Av,Plumpton,Melton
136 Clark St,Port Melbourne,Port Phillip
61 Heath St,Port Melbourne,Port Phillip
7 MacKay St,Prahran,Stonnington
97 Albert St,Preston,Darebin
21 Emerald St,Preston,Darebin
340 Plenty Rd,Preston,Darebin
93 Arundel Av,Reservoir,Darebin
11 Duffy St,Reservoir,Darebin
42 Gisborne Cr,Reservoir,Darebin
9 Marchant Av,Reservoir,Darebin
5 Mendip Rd,Reservoir,Darebin
32 Moira Av,Reservoir,Darebin
19 Smith St,Reservoir,Darebin
57 Yarra Av,Reservoir,Darebin
20 York St,Reservoir,Darebin
201/77 Abinger St,Richmond,Yarra
8 Hunter St,Richmond,Yarra
98 Wonga Rd,Ringwood,Maroondah
1 Heape Wy,Ringwood North,Maroondah
20 Rhonda St,Rosanna,Banyule
57 Ruthven St,Rosanna,Banyule
11 Grenville Tce,Roxburgh Park,Hume
4/388 Bluff Rd,Sandringham,Bayside
201 Buckley St,Seddon,Maribyrnong
95 Bank St,South Melbourne,Port Phillip
97 Park St,South Melbourne,Port Phillip
15 Jenolan Wy,South Morang,Whittlesea
4 Audrey St,Springvale,Greater Dandenong
29 Lester Av,St Albans,Brimbank
30 Thorndon Dr,St Albans,Brimbank
16 Allumba Dr,St Helena,Banyule
20 Fawkner St,St Kilda,Port Phillip
4 Frampton St,St Kilda,Port Phillip
68 Bournian Av,Strathmore,Moonee Valley
7 Brisbane St,Strathmore,Moonee Valley
95 Harker St,Sunbury,Hume
43 Ligar St,Sunbury,Hume
3 Paperbark Av,Sunbury,Hume
3 Ponsford Pl,Sunbury,Hume
6 Richardson Av,Sunbury,Hume
12 Redgum Dr,Sunshine North,Brimbank
11 Amore Dr,Sunshine West,Brimbank
3 Arthur St,Surrey Hills,Whitehorse
2 Honeyeater Cr,Taylors Lakes,Brimbank
21 Salvana Ct,Taylors Lakes,Brimbank
2 Yanchep Ct,Taylors Lakes,Brimbank
21 Wood St,Templestowe,Manningham
19 Howitt Dr,Templestowe Lower,Manningham
275 Thompsons Rd,Templestowe Lower,Manningham
5 Democrat Dr,The Basin,Knox
24 Simpson St,Thomastown,Whittlesea
8 Howqua Ct,Vermont,Whitehorse
204 Hawthorn Rd,Vermont South,Whitehorse
38 Templeton St,Wantirna,Knox
7 Cathies La,Wantirna South,Knox
3 Jonathon Ct,Wantirna South,Knox
32 Hooker Rd,Werribee,Wyndham
15 Seine Cl,Werribee,Wyndham
702 Barkly St,West Footscray,Maribyrnong
171 Essex St,West Footscray,Maribyrnong
14 Parkhill Ct,Westmeadows,Hume
17 Plato Cr,Wheelers Hill,Monash
2 Wattleglade Ct,Wheelers Hill,Monash
146 Ferguson St,Williamstown,Hobsons Bay
16 Allendale Av,Wollert,Whittlesea
37 Ballarat St,Yarraville,Maribyrnong
5 Maryston St,Yarraville,Maribyrnong
18 Stewart St,Yarraville,Maribyrnong
11 Grange Rd,Airport West,Moonee Valley
125 Parer Rd,Airport West,Moonee Valley
59 Barrett St,Albert Park,Port Phillip
6 Pickles St,Albert Park,Port Phillip
20 Burt St,Altona,Hobsons Bay
1/76 Queen St,Altona,Hobsons Bay
23 Hatherley Gr,Altona North,Hobsons Bay
16 Bailey Av,Armadale,Stonnington
6 MacArthur Av,Ascot Vale,Moonee Valley
28 Baker Pde,Ashburton,Boroondara
59 Winton Rd,Ashburton,Boroondara
16 Grosvenor St,Balaclava,Port Phillip
6 Aquila St,Balwyn North,Boroondara
33 Cityview Rd,Balwyn North,Boroondara
1 Hosken St,Balwyn North,Boroondara
22 Kalonga Rd,Balwyn North,Boroondara
11 Hastings Av,Beaumaris,Bayside
12 McNamara St,Beaumaris,Bayside
5 Davidson St,Bellfield,Banyule
44 McLean Av,Bentleigh,Glen Eira
16 Bevis St,Bentleigh East,Glen Eira
28 Melva St,Bentleigh East,Glen Eira
47 Parkmore Rd,Bentleigh East,Glen Eira
1 Sassella St,Bentleigh East,Glen Eira
10 Fir St,Blackburn,Whitehorse
4 Goodwin St,Blackburn,Whitehorse
117 Fulton Rd,Blackburn South,Whitehorse
20 Wreford Rd,Blackburn South,Whitehorse
14 Haldane St,Bonbeach,Kingston
2 Norwich St,Boronia,Knox
13 Cunningham St,Box Hill,Whitehorse
77 Karingal Dr,Briar Hill,Banyule
3 Adamson St,Brighton,Bayside
53 Elwood St,Brighton,Bayside
44 Meek St,Brighton,Bayside
76 Canberra Gr,Brighton East,Bayside
1/208 Albion St,Brunswick,Moreland
10B Albion St,Brunswick East,Moreland
117 Barkly St,Brunswick East,Moreland
33 Irvine Cr,Brunswick West,Moreland
38 McLean St,Brunswick West,Moreland
16 Temple St,Brunswick West,Moreland
8 Cabernet Cr,Bundoora,Whittlesea
36 Cameron Pde,Bundoora,Banyule
37 Greenwood Dr,Bundoora,Banyule
18 Fydler Av,Burnside,Melton
3 Aylwin Av,Burwood,Whitehorse
23 Cromwell St,Burwood,Whitehorse
58 Eley Rd,Burwood,Whitehorse
42 Uganda St,Burwood,Whitehorse
11 Webb St,Burwood,Monash
1 Trafalgar Rd,Camberwell,Boroondara
10 Beaumont St,Canterbury,Boroondara
50 Dorrit St,Carlton,Melbourne
59 Oakleigh Rd,Carnegie,Glen Eira
1 Broderick Rd,Carrum Downs,Frankston
2 Donna St,Carrum Downs,Frankston
2 Tasman Ct,Carrum Downs,Frankston
2/203 Booran Rd,Caulfield South,Glen Eira
23 Oakpark Dr,Chadstone,Monash
7 Brolga Av,Chelsea Heights,Kingston
78 Albenca St,Cheltenham,Kingston
42 Snowdon Dr,Cheltenham,Kingston
26 Tarago Cr,Clayton South,Kingston
373 Moreland Rd,Coburg,Moreland
21 Norval Cr,Coolaroo,Hume
28 Powell St,Craigieburn,Hume
5 Scarborough Tce,Craigieburn,Hume
48 Majestic Bvd,Cranbourne,Casey
9 Columbia Av,Croydon,Maroondah
19 Sevenoaks Av,Croydon,Maroondah
22 Pinewood Av,Dandenong North,Greater Dandenong
20 Northcliffe Rd,Edithvale,Kingston
16 Foster Rd,Eltham,Nillumbik
45 Allison Cr,Eltham North,Nillumbik
26 Lowalde Dr,Epping,Whittlesea
8 Trumper Pl,Epping,Whittlesea
54 Cooper St,Essendon,Moonee Valley
58 Primrose St,Essendon,Moonee Valley
14 Shaftesbury St,Essendon,Moonee Valley
2/6 Simpson Rd,Ferntree Gully,Knox
50 Church St,Fitzroy North,Yarra
134 Clauscen St,Fitzroy North,Yarra
171 Scotchmer St,Fitzroy North,Yarra
211 Scotchmer St,Fitzroy North,Yarra
141 Summerhill Rd,Footscray,Maribyrnong
39 Barter Cr,Forest Hill,Whitehorse
9 Jackson St,Forest Hill,Whitehorse
6 Tonmar Ct,Forest Hill,Whitehorse
16 Wickham Av,Forest Hill,Whitehorse
4 Sassafras Dr,Frankston,Frankston
7 Huon Ct,Frankston North,Frankston
23 Fenton Cr,Frankston South,Frankston
8 Fulham Cl,Frankston South,Frankston
9 Banks Pl,Gladstone Park,Hume
10 Madeline St,Glen Iris,Boroondara
6 Viva St,Glen Iris,Stonnington
33 Welfare Pde,Glen Iris,Boroondara
80 Paget Av,Glenroy,Moreland
24 Duranta Dr,Gowanbrae,Moreland
53 Greenhill Rd,Greensborough,Banyule
2/5 McDowell St,Greensborough,Banyule
1 Ruby La,Greensborough,Nillumbik
9 Tangari Ct,Greensborough,Banyule
2/18 Vermont Pde,Greensborough,Banyule
43 Service St,Hampton,Bayside
3 Sybil St,Hampton East,Bayside
4 Somerville Rd,Hampton Park,Casey
42 College St,Hawthorn,Boroondara
81 Ramu Pde,Heidelberg West,Banyule
2/4 Turner Rd,Highett,Kingston
26 Abbotswood Dr,Hoppers Crossing,Wyndham
23 Bayview Cr,Hoppers Crossing,Wyndham
80 Judkins Av,Hoppers Crossing,Wyndham
3/14 Moffatt Cr,Hoppers Crossing,Wyndham
63 Beauford St,Huntingdale,Monash
197 Banksia St,Ivanhoe,Banyule
71 Church St,Keilor,Brimbank
16 Kiewa Cr,Keilor,Brimbank
17 Goodwood Dr,Keilor Downs,Brimbank
11 Turfan Cl,Keilor Downs,Brimbank
17 Diorite Ct,Keilor East,Moonee Valley
18 Heatherlea Cr,Keilor East,Moonee Valley
7 Pumice Ct,Keilor East,Moonee Valley
148 Rachelle Rd,Keilor East,Moonee Valley
1 Flinders St,Keilor Park,Brimbank
135 Brougham St,Kew,Boroondara
6 Carson St,Kew,Boroondara
537 High St,Kew,Boroondara
16 Hodgson St,Kew,Boroondara
5 Regency Gr,Kew,Boroondara
4 Second Av,Kew,Boroondara
17 Kotiko Rd,Keysborough,Greater Dandenong
17 Birkenhead Dr,Kilsyth,Yarra Ranges
3 Ikara Cl,Kings Park,Brimbank
707 Toorak Rd,Kooyong,Stonnington
1 Ashdown Ct,Lalor,Whittlesea
25 Bruce St,Lalor,Whittlesea
264 Edgars Rd,Lalor,Whittlesea
183 Kingsway Dr,Lalor,Whittlesea
83 Pindara Bvd,Langwarrin,Frankston
3 Wallace St,Maidstone,Maribyrnong
7 Northbrook Av,Malvern,Stonnington
2002 Malvern Rd,Malvern East,Stonnington
88 The Esplanade,Maribyrnong,Maribyrnong
55 McKinnon Rd,McKinnon,Glen Eira
36A Windsor Av,McKinnon,Glen Eira
17 Canadian Ct,Meadow Heights,Hume
21D Yuille St,Melton,Melton
1 Fraser St,Melton South,Melton
29 Neville St,Mentone,Kingston
81 Erskine St,Middle Park,Port Phillip
29 Highland Av,Mitcham,Whitehorse
2/61 Orient Av,Mitcham,Whitehorse
37 Purches St,Mitcham,Whitehorse
21 David St,Monbulk,Yarra Ranges
1/53 Buckley St,Moonee Ponds,Moonee Valley
46 Eglinton St,Moonee Ponds,Moonee Valley
53 Moore St,Moonee Ponds,Moonee Valley
110 Chapel Rd,Moorabbin,Kingston
7 Walsh Av,Moorabbin,Kingston
11 Western Wy,Mooroolbark,Yarra Ranges
46 Barkly St,Mordialloc,Kingston
15 Anthony Dr,Mount Waverley,Monash
17 Huntingtower Cr,Mount Waverley,Monash
2/392 Stephensons Rd,Mount Waverley,Monash
2229 Dandenong Rd,Mulgrave,Monash
3 Grandview Rd,Niddrie,Moonee Valley
44 Shaw St,Niddrie,Moonee Valley
9 Erskine St,North Melbourne,Melbourne
95 Beavers Rd,Northcote,Darebin
3/39 Lemon Gr,Nunawading,Whitehorse
18 Jessie St,Oak Park,Moreland
3 Grant St,Oakleigh,Monash
33 Guest Rd,Oakleigh South,Monash
57 Holloway St,Ormond,Glen Eira
5 Stewart St,Ormond,Glen Eira
12 Wallen Rd,Ormond,Glen Eira
14 Robert St,Parkdale,Kingston
63 The Corso,Parkdale,Kingston
1 Ann St,Pascoe Vale,Moreland
21 Stoneyfell Rd,Point Cook,Wyndham
44 Garton St,Port Melbourne,Port Phillip
201 Stokes St,Port Melbourne,Port Phillip
69 Greville St,Prahran,Stonnington
17 Packington Pl,Prahran,Stonnington
